|6.6.6
continental_crust_1.tab                                                                             
           2
T(K)    
   273.00000000000000     
   19.576923076923077     
          79
P(bar)  
   1.0000000000000000     
   1282.0384615384614     
          79
           8
T(K)           P(bar)         rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  273.000        1.00000        2929.42       0.231292E-004   713.135        6.22169        2.98880      -0.134854E+008
  292.577        1.00000        2868.39       0.255321E-004   750.632        6.12105        2.94046      -0.134671E+008
  312.154        1.00000        2860.25       0.284431E-004   789.660        5.83766        2.80432      -0.134472E+008
  331.731        1.00000        2813.68       0.304899E-004   823.912        5.61636        2.69801      -0.134248E+008
  351.308        1.00000        2807.67       0.313034E-004   851.766        5.58473        2.68282      -0.134075E+008
  370.885        1.00000        2795.60       0.319926E-004   877.136        5.48068        2.63283      -0.133879E+008
  390.462        1.00000        2791.96       0.326300E-004   900.635        5.46709        2.62630      -0.133704E+008
  410.038        1.00000        2788.86       0.332609E-004   922.118        5.45414        2.62008      -0.133524E+008
  429.615        1.00000        2786.11       0.338921E-004   941.866        5.44148        2.61400      -0.133341E+008
  449.192        1.00000        2780.16       0.339205E-004   959.558        5.43606        2.61140      -0.133149E+008
  468.769        1.00000        2776.05       0.341556E-004   976.224        5.42944        2.60822      -0.132956E+008
  488.346        1.00000        2774.36       0.347338E-004   991.930        5.41700        2.60224      -0.132762E+008
  507.923        1.00000        2772.63       0.353792E-004   1006.74        5.40854        2.59818      -0.132566E+008
  527.500        1.00000        2729.79       0.335764E-004   1018.24        5.43212        2.60951      -0.132316E+008
  547.077        1.00000        2736.69       0.357656E-004   1030.96        5.39373        2.59107      -0.132102E+008
  566.654        1.00000        2735.44       0.364784E-004   1043.22        5.38125        2.58507      -0.131893E+008
  586.231        1.00000        2734.29       0.372334E-004   1054.85        5.36821        2.57880      -0.131682E+008
  605.808        1.00000        2733.22       0.380413E-004   1065.94        5.35449        2.57221      -0.131467E+008
  625.385        1.00000        2732.25       0.389153E-004   1076.56        5.33988        2.56520      -0.131249E+008
  644.962        1.00000        2742.84       0.374309E-004   1086.54        5.47292        2.62910      -0.131015E+008
  664.538        1.00000        2752.90       0.357704E-004   1097.40        5.60594        2.69300      -0.130776E+008
  684.115        1.00000        2748.70       0.359123E-004   1097.71        5.56051        2.67118      -0.130409E+008
  703.692        1.00000        2746.73       0.373222E-004   1111.64        5.53741        2.66008      -0.130187E+008
  723.269        1.00000        2744.65       0.410281E-004   1154.30        5.50940        2.64663      -0.129962E+008
  742.846        1.00000        2742.44       0.381955E-004   1104.61        5.48594        2.63536      -0.129738E+008
  762.423        1.00000        2740.25       0.401100E-004   1112.77        5.45169        2.61891      -0.129519E+008
  782.000        1.00000        2737.92       0.428620E-004   1122.39        5.40773        2.59779      -0.129298E+008
  801.577        1.00000        2735.41       0.471925E-004   1134.02        5.34683        2.56853      -0.129076E+008
  821.154        1.00000        2732.57       0.556726E-004   1151.04        5.24909        2.52158      -0.128850E+008
  840.731        1.00000        2728.83       0.904595E-004   1203.42        5.00815        2.40584      -0.128619E+008
  860.308        1.00000        2725.17       0.213151E-004   1117.93        5.97941        2.87241      -0.128387E+008
  879.885        1.00000        2723.93       0.214157E-004   1122.89                 NaN            NaN -0.128166E+008
  899.462        1.00000        2722.67       0.215165E-004   1127.69        5.97037        2.86807      -0.127943E+008
  919.038        1.00000        2721.42       0.216175E-004   1132.33                 NaN            NaN -0.127720E+008
  938.615        1.00000        2720.16       0.217188E-004   1136.82        5.96121        2.86367      -0.127496E+008
  958.192        1.00000        2718.91       0.218203E-004   1141.17                 NaN            NaN -0.127271E+008
  977.769        1.00000        2717.64       0.219221E-004   1145.39                 NaN            NaN -0.127046E+008
  997.346        1.00000        2716.38       0.220242E-004   1149.47                 NaN            NaN -0.126819E+008
  1016.92        1.00000        2715.12       0.221270E-004   1153.44        5.94248        2.85467      -0.126592E+008
  1036.50        1.00000        2713.86       0.222301E-004   1157.30        5.93770        2.85238      -0.126364E+008
  1056.08        1.00000        2712.60       0.223336E-004   1161.04        5.93289        2.85007      -0.126135E+008
  1075.65        1.00000        2711.34       0.224377E-004   1164.69        5.92803        2.84774      -0.125906E+008
  1095.23        1.00000        2710.08       0.225425E-004   1168.24        5.92314        2.84538      -0.125676E+008
  1114.81        1.00000        2708.83       0.226477E-004   1171.69        5.91820        2.84301      -0.125446E+008
  1134.38        1.00000        2707.57       0.227536E-004   1175.06        5.91323        2.84062      -0.125215E+008
  1153.96        1.00000        2608.38       0.220330E-004   1178.61                 NaN            NaN -0.124895E+008
  1173.54        1.00000        2607.21       0.221363E-004   1181.71                 NaN            NaN -0.124663E+008
  1193.12        1.00000        2606.03       0.222405E-004   1184.73                 NaN            NaN -0.124430E+008
  1212.69        1.00000        2775.91       0.280018E-004   1194.50                 NaN            NaN -0.123944E+008
  1232.27        1.00000        2790.65       0.287172E-004   1197.79                 NaN            NaN -0.123829E+008
  1251.85        1.00000        2813.85       0.297690E-004   1201.07                 NaN            NaN -0.123714E+008
  1271.42        1.00000        2840.96       0.309356E-004   1204.18        5.93729        2.85218      -0.123628E+008
  1291.00        1.00000        2842.21       0.309204E-004   1206.64        5.96460        2.86530      -0.123734E+008
  1310.58        1.00000        2832.51       0.307468E-004   1211.49        6.02037        2.89209      -0.124746E+008
  1330.15        1.00000        2830.26       0.306239E-004   1213.99        6.07311        2.91743      -0.125297E+008
  1349.73        1.00000        2833.12       0.305469E-004   1214.67        6.12978        2.94465      -0.125577E+008
  1369.31        1.00000        2838.05       0.304911E-004   1213.76        6.19840        2.97761      -0.125819E+008
  1388.88        1.00000        2859.37       0.308208E-004   1213.10        6.26207        3.00820      -0.125491E+008
  1408.46        1.00000        2891.34       0.314432E-004   1212.26        6.32584        3.03883      -0.124884E+008
  1428.04        1.00000        2933.11       0.323459E-004   1210.10        6.39981        3.07437      -0.124130E+008
  1447.62        1.00000        2992.04       0.337142E-004   1205.69        6.49344        3.11935      -0.123137E+008
  1467.19        1.00000        3084.71       0.359650E-004   1197.11        6.62959        3.18475      -0.121708E+008
  1486.77        1.00000        3253.58       0.401602E-004   1180.05        6.87879        3.30447      -0.119402E+008
  1506.35        1.00000        3240.10       0.383071E-004   1171.80        6.61655        3.17849      -0.119230E+008
  1525.92        1.00000        3237.87       0.384643E-004   1172.79        6.60431        3.17261      -0.118951E+008
  1545.50        1.00000        3235.65       0.386246E-004   1173.75        6.59225        3.16681      -0.118669E+008
  1565.08        1.00000        3233.10       0.387966E-004   1174.83        6.58056        3.16120      -0.118418E+008
  1584.65        1.00000        3230.85       0.389632E-004   1175.82        6.56893        3.15561      -0.118142E+008
  1604.23        1.00000        3228.65       0.391328E-004   1176.76        6.55741        3.15008      -0.117855E+008
  1623.81        1.00000        3226.12       0.393146E-004   1177.80        6.54626        3.14472      -0.117596E+008
  1643.38        1.00000        3419.28       0.260379E-004   1067.88        5.73676        2.75585      -0.110312E+008
  1662.96        1.00000        3417.53       0.261778E-004   1069.00        5.72451        2.74997      -0.110102E+008
  1682.54        1.00000        3415.77       0.263191E-004   1070.09        5.71223        2.74407      -0.109893E+008
  1702.12        1.00000        3414.00       0.264619E-004   1071.17        5.69990        2.73814      -0.109684E+008
  1721.69        1.00000        3412.23       0.266061E-004   1072.24        5.68753        2.73220      -0.109474E+008
  1741.27        1.00000        3568.44       0.280694E-004   1055.47        6.29183        3.02250      -0.105755E+008
  1760.85        1.00000        4069.25       0.323619E-004   1009.70        8.46916        4.06845      -0.961925E+007
  1780.42        1.00000        4066.67       0.324568E-004   1011.44        8.46500        4.06646      -0.959946E+007
  1800.00        1.00000        4064.08       0.325522E-004   1013.16        8.46085        4.06446      -0.957964E+007
  273.000        1283.04        3005.78       0.220487E-004   715.907        6.39439        3.07176      -0.134484E+008
  292.577        1283.04        3000.51       0.222615E-004   752.433        6.41394        3.08116      -0.134328E+008
  312.154        1283.04        2995.66       0.229539E-004   786.147        6.40331        3.07605      -0.134169E+008
  331.731        1283.04        2872.62       0.307407E-004   822.637        5.71187        2.74389      -0.133840E+008
  351.308        1283.04        2870.79       0.314173E-004   851.420        5.70439        2.74030      -0.133675E+008
  370.885        1283.04        2868.89       0.320695E-004   877.286        5.69613        2.73633      -0.133504E+008
  390.462        1283.04        2820.54       0.321674E-004   900.553        5.53268        2.65781      -0.133264E+008
  410.038        1283.04        2812.75       0.327410E-004   921.829        5.51196        2.64786      -0.133081E+008
  429.615        1283.04        2806.89       0.333278E-004   941.408        5.49386        2.63917      -0.132895E+008
  449.192        1283.04        2801.95       0.339191E-004   959.521        5.47715        2.63114      -0.132707E+008
  468.769        1283.04        2797.73       0.345215E-004   976.354        5.46131        2.62353      -0.132515E+008
  488.346        1283.04        2794.06       0.351487E-004   992.076        5.44574        2.61605      -0.132320E+008
  507.923        1283.04        2786.14       0.353874E-004   1005.78        5.42685        2.60697      -0.132108E+008
  527.500        1283.04        2784.46       0.360328E-004   1019.68        5.41481        2.60119      -0.131909E+008
  547.077        1283.04        2782.73       0.367033E-004   1032.81        5.40215        2.59511      -0.131707E+008
  566.654        1283.04        2780.94       0.374051E-004   1045.28        5.38879        2.58869      -0.131503E+008
  586.231        1283.04        2779.09       0.381451E-004   1057.16        5.37463        2.58189      -0.131296E+008
  605.808        1283.04        2777.18       0.389319E-004   1068.54        5.35957        2.57465      -0.131086E+008
  625.385        1283.04        2775.20       0.397760E-004   1079.50        5.34345        2.56691      -0.130874E+008
  644.962        1283.04        2773.14       0.406911E-004   1090.12        5.32608        2.55857      -0.130659E+008
  664.538        1283.04        2771.17       0.426439E-004   1102.78        5.26658        2.52998      -0.130437E+008
  684.115        1283.04        2730.55       0.406835E-004   1107.91        5.31065        2.55116      -0.130150E+008
  703.692        1283.04        2726.66       0.408676E-004   1105.81        5.26076        2.52719      -0.129782E+008
  723.269        1283.04        2724.84       0.425586E-004   1120.36        5.23592        2.51525      -0.129560E+008
  742.846        1283.04        2722.92       0.430250E-004   1115.62        5.21111        2.50334      -0.129338E+008
  762.423        1283.04        2720.97       0.447779E-004   1123.84        5.18095        2.48885      -0.129117E+008
  782.000        1283.04        2718.94       0.470258E-004   1132.74        5.14499        2.47157      -0.128894E+008
  801.577        1283.04        2716.80       0.500459E-004   1142.50        5.10042        2.45016      -0.128669E+008
  821.154        1283.04        2714.49       0.544563E-004   1153.98        5.04185        2.42202      -0.128442E+008
  840.731        1283.04        2711.89       0.619169E-004   1169.45        4.95696        2.38125      -0.128213E+008
  860.308        1283.04        2708.72       0.795611E-004   1198.67        4.80537        2.30842      -0.127979E+008
879.885 1283.04 2702.70 0.0001 1129.09 5.34019 2.56534 -0.127730E+008
  899.462        1283.04        2701.99       0.237048E-004   1133.55                 NaN            NaN -0.127506E+008
  919.038        1283.04        2701.29       0.238517E-004   1137.84        5.78264        2.77789      -0.127281E+008
  938.615        1283.04        2700.59       0.239981E-004   1141.98        5.77778        2.77555      -0.127056E+008
  958.192        1283.04        2699.41       0.241530E-004   1146.15        5.77172        2.77264      -0.126831E+008
  977.769        1283.04        2698.15       0.243105E-004   1150.22        5.76540        2.76961      -0.126605E+008
  997.346        1283.04        2696.88       0.244693E-004   1154.16        5.75905        2.76656      -0.126379E+008
  1016.92        1283.04        2713.93       0.258866E-004   1159.07        5.73266        2.75388      -0.125929E+008
  1036.50        1283.04        2715.14       0.262136E-004   1163.03        5.72579        2.75058      -0.125739E+008
  1056.08        1283.04        2733.95       0.266892E-004   1166.27        5.75213        2.76324      -0.125452E+008
  1075.65        1283.04        2832.98       0.276298E-004   1168.87        5.96423        2.86513      -0.124511E+008
  1095.23        1283.04        2853.69       0.288365E-004   1173.34        5.96327        2.86466      -0.124175E+008
  1114.81        1283.04        2861.53       0.296040E-004   1176.93        5.95886        2.86254      -0.123907E+008
  1134.38        1283.04        2864.30       0.298847E-004   1180.31        5.96496        2.86547      -0.123789E+008
  1153.96        1283.04        2864.76       0.299345E-004   1183.55        5.97739        2.87145      -0.123759E+008
  1173.54        1283.04        2865.30       0.299694E-004   1186.68        5.99304        2.87896      -0.123768E+008
  1193.12        1283.04        2866.13       0.299905E-004   1189.65        6.01242        2.88827      -0.123809E+008
  1212.69        1283.04        2867.59       0.300012E-004   1192.39        6.03614        2.89967      -0.123868E+008
  1232.27        1283.04        2866.25       0.299715E-004   1195.74        6.07059        2.91622      -0.124199E+008
  1251.85        1283.04        2856.37       0.298359E-004   1200.78        6.12445        2.94209      -0.125205E+008
  1271.42        1283.04        2858.10       0.298066E-004   1202.66        6.16780        2.96292      -0.125450E+008
  1291.00        1283.04        2861.32       0.297992E-004   1203.74        6.21774        2.98691      -0.125669E+008
  1310.58        1283.04        2866.29       0.298259E-004   1203.67        6.27645        3.01511      -0.125866E+008
  1330.15        1283.04        2880.11       0.300531E-004   1202.90        6.33858        3.04495      -0.125781E+008
  1349.73        1283.04        2908.97       0.306542E-004   1202.73        6.39404        3.07160      -0.125219E+008
  1369.31        1283.04        2945.51       0.314818E-004   1201.57        6.45653        3.10161      -0.124540E+008
  1388.88        1283.04        2994.49       0.326615E-004   1198.87        6.53172        3.13773      -0.123688E+008
  1408.46        1283.04        3066.05       0.344404E-004   1193.48        6.63288        3.18633      -0.122536E+008
  1428.04        1283.04        3183.31       0.374158E-004   1183.15        6.79521        3.26431      -0.120864E+008
  1447.62        1283.04        3260.98       0.395459E-004   1176.64        6.90520        3.31715      -0.119670E+008
  1467.19        1283.04        3254.13       0.389522E-004   1174.51        6.80232        3.26773      -0.119449E+008
  1486.77        1283.04        3245.63       0.378779E-004   1169.97        6.64432        3.19183      -0.119200E+008
  1506.35        1283.04        3243.16       0.380376E-004   1171.02        6.63231        3.18606      -0.118941E+008
  1525.92        1283.04        3240.76       0.381973E-004   1172.09        6.62049        3.18038      -0.118682E+008
  1545.50        1283.04        3238.66       0.383540E-004   1173.01        6.60865        3.17469      -0.118388E+008
  1565.08        1283.04        3236.27       0.385203E-004   1174.04        6.59719        3.16919      -0.118122E+008
  1584.65        1283.04        3233.89       0.386908E-004   1175.04        6.58586        3.16375      -0.117853E+008
  1604.23        1283.04        3231.49       0.388655E-004   1176.00        6.57471        3.15839      -0.117576E+008
  1623.81        1283.04        3229.76       0.390216E-004   1176.87        6.56353        3.15302      -0.117261E+008
  1643.38        1283.04        3226.94       0.392123E-004   1178.03        6.55299        3.14795      -0.117034E+008
  1662.96        1283.04        3423.11       0.257624E-004   1068.52        5.76130        2.76764      -0.109744E+008
  1682.54        1283.04        3421.38       0.258990E-004   1069.60        5.74916        2.76181      -0.109535E+008
  1702.12        1283.04        3419.64       0.260369E-004   1070.67        5.73698        2.75596      -0.109325E+008
  1721.69        1283.04        3417.90       0.261763E-004   1071.72        5.72476        2.75008      -0.109115E+008
  1741.27        1283.04        3416.14       0.263170E-004   1072.76        5.71250        2.74419      -0.108905E+008
  1760.85        1283.04        3414.38       0.264592E-004   1073.78        5.70019        2.73828      -0.108695E+008
  1780.42        1283.04        3419.51       0.266633E-004   1073.99        5.71597        2.74586      -0.108325E+008
  1800.00        1283.04        3883.26       0.308555E-004   1028.30        7.52844        3.61655      -0.986403E+007
  273.000        2565.08        3012.84       0.216739E-004   715.451        6.41317        3.08079      -0.134069E+008
  292.577        2565.08        3009.44       0.224316E-004   753.154        6.40265        3.07573      -0.133912E+008
  312.154        2565.08        3004.50       0.225486E-004   785.708        6.42326        3.08563      -0.133752E+008
  331.731        2565.08        2999.93       0.231804E-004   816.074        6.41335        3.08088      -0.133588E+008
  351.308        2565.08        2995.05       0.237933E-004   843.645        6.40269        3.07575      -0.133418E+008
  370.885        2565.08        2875.37       0.314846E-004   876.746        5.72366        2.74956      -0.133063E+008
  390.462        2565.08        2873.44       0.320926E-004   900.147        5.71523        2.74551      -0.132887E+008
  410.038        2565.08        2863.63       0.327155E-004   920.989        5.60250        2.69135      -0.132675E+008
  429.615        2565.08        2861.51       0.332789E-004   940.506        5.59361        2.68708      -0.132490E+008
  449.192        2565.08        2859.34       0.338427E-004   958.479        5.58416        2.68255      -0.132300E+008
  468.769        2565.08        2829.60       0.340267E-004   975.587        5.53529        2.65907      -0.132082E+008
  488.346        2565.08        2821.96       0.345833E-004   991.270        5.51339        2.64855      -0.131884E+008
  507.923        2565.08        2815.28       0.351702E-004   1005.94        5.49240        2.63846      -0.131684E+008
  527.500        2565.08        2808.23       0.356562E-004   1019.50        5.47303        2.62916      -0.131479E+008
  547.077        2565.08        2793.15       0.359246E-004   1031.70        5.43749        2.61209      -0.131255E+008
  566.654        2565.08        2792.54       0.366092E-004   1044.00        5.42499        2.60608      -0.131050E+008
  586.231        2565.08        2789.55       0.372425E-004   1055.89        5.41192        2.59980      -0.130844E+008
  605.808        2565.08        2787.78       0.379560E-004   1067.14        5.39782        2.59303      -0.130634E+008
  625.385        2565.08        2785.67       0.387046E-004   1078.02        5.38334        2.58607      -0.130423E+008
  644.962        2565.08        2783.63       0.395105E-004   1088.50        5.36763        2.57852      -0.130209E+008
  664.538        2565.08        2781.74       0.413708E-004   1101.08        5.30823        2.54999      -0.129988E+008
  684.115        2565.08        2778.75       0.418790E-004   1105.53        5.27624        2.53463      -0.129696E+008
  703.692        2565.08        2774.74       0.426667E-004   1113.04        5.25606        2.52493      -0.129457E+008
  723.269        2565.08        2732.98       0.405317E-004   1116.28        5.28769        2.54012      -0.129104E+008
  742.846        2565.08        2731.13       0.408276E-004   1113.25        5.26722        2.53029      -0.128883E+008
  762.423        2565.08        2729.35       0.421148E-004   1120.77        5.24305        2.51868      -0.128662E+008
  782.000        2565.08        2727.38       0.436854E-004   1128.78        5.21524        2.50532      -0.128440E+008
  801.577        2565.08        2725.61       0.456485E-004   1137.11        5.18284        2.48976      -0.128216E+008
  821.154        2565.08        2723.33       0.481781E-004   1146.12        5.14332        2.47077      -0.127991E+008
  840.731        2565.08        2721.18       0.516899E-004   1156.27        5.09367        2.44692      -0.127763E+008
  860.308        2565.08        2718.68       0.571022E-004   1168.99        5.02557        2.41421      -0.127534E+008
  879.885        2565.08        2716.06       0.672707E-004   1188.23        4.92069        2.36382      -0.127301E+008
899.462 2565.08 2712.13 0.0001 1241.13 4.69218 2.25405 -0.127063E+008
  919.038        2565.08        2707.99       0.234903E-004   1137.56        5.81505        2.79346      -0.126818E+008
  938.615        2565.08        2706.82       0.236352E-004   1141.79                 NaN            NaN -0.126593E+008
  958.192        2565.08        2706.08       0.237789E-004   1145.79        5.80436        2.78832      -0.126367E+008
  977.769        2565.08        2704.91       0.239298E-004   1149.81                 NaN            NaN -0.126142E+008
  997.346        2565.08        2715.60       0.248038E-004   1154.35                 NaN            NaN -0.125763E+008
  1016.92        2565.08        2715.62       0.250334E-004   1158.25                 NaN            NaN -0.125543E+008
  1036.50        2565.08        2716.81       0.253793E-004   1162.28        5.76869        2.77119      -0.125384E+008
  1056.08        2565.08        2715.92       0.255136E-004   1165.91                 NaN            NaN -0.125191E+008
  1075.65        2565.08        2728.73       0.257066E-004   1169.06                 NaN            NaN -0.125013E+008
  1095.23        2565.08        2787.78       0.255642E-004   1171.49                 NaN            NaN -0.124525E+008
  1114.81        2565.08        2820.17       0.263725E-004   1175.81                 NaN            NaN -0.124197E+008
  1134.38        2565.08        2837.18       0.273486E-004   1180.20        6.00714        2.88574      -0.123992E+008
  1153.96        2565.08        2842.64       0.279602E-004   1183.66                 NaN            NaN -0.123822E+008
  1173.54        2565.08        2850.05       0.287363E-004   1187.09                 NaN            NaN -0.123658E+008
  1193.12        2565.08        2860.86       0.297944E-004   1190.59        6.00544        2.88492      -0.123497E+008
  1212.69        2565.08        2856.22       0.298392E-004   1195.13        6.03364        2.89847      -0.123974E+008
  1232.27        2565.08        2851.78       0.298116E-004   1199.18        6.06588        2.91395      -0.124466E+008
  1251.85        2565.08        2852.55       0.298131E-004   1201.78        6.09709        2.92895      -0.124667E+008
  1271.42        2565.08        2854.29       0.298224E-004   1203.87        6.13398        2.94667      -0.124877E+008
  1291.00        2565.08        2859.20       0.298584E-004   1205.32        6.17935        2.96847      -0.125026E+008
  1310.58        2565.08        2866.22       0.299312E-004   1205.77        6.23331        2.99438      -0.125156E+008
  1330.15        2565.08        2876.62       0.300700E-004   1204.79        6.29927        3.02607      -0.125246E+008
  1349.73        2565.08        2901.30       0.305296E-004   1203.67        6.36567        3.05797      -0.124902E+008
  1369.31        2565.08        2939.20       0.313199E-004   1202.44        6.43494        3.09125      -0.124254E+008
  1388.88        2565.08        3008.19       0.327487E-004   1197.89        6.55321        3.14806      -0.123245E+008
  1408.46        2565.08        3062.30       0.341783E-004   1194.31        6.62650        3.18327      -0.122326E+008
  1428.04        2565.08        3179.87       0.370541E-004   1184.14        6.79663        3.26500      -0.120718E+008
  1447.62        2565.08        3263.64       0.392581E-004   1177.17        6.92058        3.32454      -0.119502E+008
  1467.19        2565.08        3260.88       0.394853E-004   1178.68        6.91600        3.32234      -0.119260E+008
  1486.77        2565.08        3258.12       0.395957E-004   1179.57        6.89905        3.31420      -0.118981E+008
  1506.35        2565.08        3246.19       0.377743E-004   1171.67        6.65881        3.19879      -0.118762E+008
  1525.92        2565.08        3244.02       0.379261E-004   1172.56        6.64675        3.19300      -0.118473E+008
  1545.50        2565.08        3241.67       0.380839E-004   1173.54        6.63510        3.18740      -0.118202E+008
  1565.08        2565.08        3239.59       0.382382E-004   1174.44        6.62337        3.18176      -0.117916E+008
  1584.65        2565.08        3237.16       0.384044E-004   1175.39        6.61200        3.17630      -0.117646E+008
  1604.23        2565.08        3234.95       0.385698E-004   1176.33        6.60080        3.17092      -0.117367E+008
  1623.81        2565.08        3232.84       0.387343E-004   1177.15        6.58960        3.16554      -0.117064E+008
  1643.38        2565.08        3230.53       0.389070E-004   1178.17        6.57885        3.16038      -0.116801E+008
  1662.96        2565.08        3227.78       0.390970E-004   1179.18        6.56830        3.15531      -0.116553E+008
  1682.54        2565.08        3427.08       0.254665E-004   1069.12        5.79171        2.78225      -0.109176E+008
  1702.12        2565.08        3425.36       0.255997E-004   1070.18        5.77965        2.77646      -0.108967E+008
  1721.69        2565.08        3423.64       0.257342E-004   1071.22        5.76757        2.77065      -0.108757E+008
  1741.27        2565.08        3421.91       0.258701E-004   1072.25        5.75544        2.76482      -0.108548E+008
  1760.85        2565.08        3420.18       0.260073E-004   1073.26        5.74327        2.75898      -0.108337E+008
  1780.42        2565.08        3418.43       0.261459E-004   1074.25        5.73106        2.75311      -0.108127E+008
  1800.00        2565.08        3416.68       0.262859E-004   1075.24        5.71882        2.74723      -0.107917E+008
  273.000        3847.12        3018.96       0.213635E-004   715.023        6.42731        3.08758      -0.133645E+008
  292.577        3847.12        3016.33       0.220693E-004   752.675        6.41943        3.08380      -0.133494E+008
  312.154        3847.12        3013.18       0.227511E-004   786.400        6.40993        3.07923      -0.133337E+008
  331.731        3847.12        3008.44       0.227912E-004   815.624        6.43111        3.08941      -0.133172E+008
  351.308        3847.12        3004.11       0.233724E-004   843.167        6.42167        3.08487      -0.133003E+008
  370.885        3847.12        2999.48       0.239402E-004   868.320        6.41153        3.08000      -0.132828E+008
  390.462        3847.12        2994.76       0.244960E-004   891.406        6.40097        3.07493      -0.132648E+008
  410.038        3847.12        2877.93       0.320916E-004   920.918        5.73360        2.75433      -0.132267E+008
  429.615        3847.12        2868.16       0.326743E-004   939.972        5.62261        2.70102      -0.132049E+008
  449.192        3847.12        2866.04       0.332094E-004   957.927        5.61367        2.69672      -0.131860E+008
  468.769        3847.12        2863.86       0.337484E-004   974.550        5.60414        2.69214      -0.131668E+008
  488.346        3847.12        2861.62       0.342961E-004   990.017        5.59396        2.68725      -0.131471E+008
  507.923        3847.12        2859.33       0.348601E-004   1004.48        5.58299        2.68198      -0.131272E+008
  527.500        3847.12        2856.97       0.354644E-004   1018.10        5.57057        2.67602      -0.131070E+008
  547.077        3847.12        2840.94       0.358384E-004   1031.27        5.53832        2.66052      -0.130854E+008
  566.654        3847.12        2831.96       0.363892E-004   1043.68        5.51364        2.64867      -0.130644E+008
  586.231        3847.12        2817.40       0.367996E-004   1055.15        5.47780        2.63145      -0.130420E+008
  605.808        3847.12        2799.70       0.371418E-004   1065.81        5.43495        2.61087      -0.130186E+008
  625.385        3847.12        2797.66       0.378221E-004   1076.57        5.42133        2.60432      -0.129975E+008
  644.962        3847.12        2795.54       0.385431E-004   1086.95        5.40690        2.59739      -0.129761E+008
  664.538        3847.12        2794.65       0.403750E-004   1099.11        5.34342        2.56690      -0.129531E+008
  684.115        3847.12        2791.57       0.411039E-004   1108.14        5.32418        2.55766      -0.129297E+008
  703.692        3847.12        2789.26       0.415896E-004   1113.05        5.30349        2.54771      -0.129027E+008
  723.269        3847.12        2782.07       0.423029E-004   1121.12        5.28158        2.53719      -0.128784E+008
  742.846        3847.12        2760.92       0.408888E-004   1114.81        5.28617        2.53939      -0.128485E+008
  762.423        3847.12        2737.79       0.401254E-004   1118.48        5.29649        2.54435      -0.128208E+008
  782.000        3847.12        2735.98       0.413173E-004   1125.95        5.27379        2.53345      -0.127987E+008
  801.577        3847.12        2734.11       0.427323E-004   1133.57        5.24807        2.52109      -0.127764E+008
  821.154        3847.12        2733.04       0.444875E-004   1141.40        5.21904        2.50714      -0.127538E+008
  840.731        3847.12        2731.40       0.466773E-004   1149.70        5.18413        2.49037      -0.127312E+008
  860.308        3847.12        2728.53       0.495439E-004   1158.94        5.14019        2.46927      -0.127084E+008
  879.885        3847.12        2725.79       0.536948E-004   1169.88        5.08337        2.44197      -0.126855E+008
  899.462        3847.12        2724.92       0.606498E-004   1184.47        5.00424        2.40396      -0.126621E+008
  919.038        3847.12        2720.76       0.757521E-004   1211.23        4.86604        2.33757      -0.126386E+008
938.615 3847.12 2714.76 0.0001 1550.57 4.33163 2.08085 -0.126137E+008
  958.192        3847.12        2712.74       0.234230E-004   1145.49                 NaN            NaN -0.125906E+008
  977.769        3847.12        2711.81       0.235657E-004   1149.42                 NaN            NaN -0.125679E+008
  997.346        3847.12        2719.97       0.242100E-004   1153.77        5.81937        2.79554      -0.125345E+008
  1016.92        3847.12        2720.22       0.244481E-004   1157.66        5.81258        2.79227      -0.125121E+008
  1036.50        3847.12        2721.62       0.247427E-004   1161.62        5.80761        2.78989      -0.124956E+008
  1056.08        3847.12        2720.79       0.249126E-004   1165.36        5.80410        2.78820      -0.124807E+008
  1075.65        3847.12        2717.91       0.249627E-004   1168.86        5.80123        2.78682      -0.124657E+008
  1095.23        3847.12        2729.18       0.249852E-004   1171.86        5.83418        2.80265      -0.124545E+008
  1114.81        3847.12        2770.55       0.244851E-004   1174.41        5.97524                 NaN -0.124252E+008
  1134.38        3847.12        2796.81       0.247702E-004   1178.30        6.03449        2.89887      -0.124007E+008
  1153.96        3847.12        2814.23       0.256533E-004   1183.01                 NaN            NaN -0.123895E+008
  1173.54        3847.12        2823.99       0.263715E-004   1187.33        6.04659        2.90469      -0.123864E+008
  1193.12        3847.12        2824.89       0.269857E-004   1192.07                 NaN            NaN -0.124095E+008
  1212.69        3847.12        2828.91       0.277058E-004   1196.10                 NaN            NaN -0.124211E+008
  1232.27        3847.12        2838.06       0.286715E-004   1199.46        6.06788        2.91492      -0.124180E+008
  1251.85        3847.12        2849.61       0.297347E-004   1202.55        6.07908        2.92030      -0.124164E+008
  1271.42        3847.12        2851.79       0.297780E-004   1204.86        6.11075        2.93551      -0.124322E+008
  1291.00        3847.12        2856.60       0.298468E-004   1206.55        6.14971        2.95422      -0.124440E+008
  1310.58        3847.12        2864.25       0.299544E-004   1207.43        6.19780        2.97732      -0.124533E+008
  1330.15        3847.12        2875.60       0.301451E-004   1206.98        6.25553        3.00506      -0.124563E+008
  1349.73        3847.12        2893.45       0.304318E-004   1204.88        6.33346        3.04249      -0.124550E+008
  1369.31        3847.12        2934.48       0.312343E-004   1203.08        6.41188        3.08017      -0.123912E+008
