|6.6.6
harz_wet_1.tab                                                                                      
           2
T(K)    
   273.00000000000000     
   17.012820512820515     
          79
P(bar)  
   1.0000000000000000     
   1282.0384615384614     
          79
           9
T(K)           P(bar)         rho,kg/m3      alpha,1/K      beta,1/bar     cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  460.141        20513.6        3091.80       0.275335E-004  0.109418E-005   1055.71        6.65910        3.19893      -0.123411E+008
  477.154        20513.6        3090.35       0.278225E-004  0.109735E-005   1071.15        6.65239        3.19571      -0.123229E+008
  494.167        20513.6        3088.87       0.280904E-004  0.110055E-005   1085.67        6.64566        3.19247      -0.123045E+008
  511.179        20513.6        3087.38       0.283428E-004  0.110380E-005   1099.37        6.63885        3.18920      -0.122858E+008
  528.192        20513.6        3085.88       0.285783E-004  0.110707E-005   1112.30        6.63201        3.18591      -0.122668E+008
  545.205        20513.6        3084.37       0.288066E-004  0.111040E-005   1124.54        6.62501        3.18255      -0.122477E+008
  562.218        20513.6        3082.84       0.290180E-004  0.111375E-005   1136.10        6.61806        3.17921      -0.122283E+008
  579.231        20513.6        3081.31       0.292259E-004  0.111716E-005   1147.09        6.61093        3.17579      -0.122087E+008
  596.244        20513.6        3079.76       0.294217E-004  0.112060E-005   1157.49        6.60381        3.17237      -0.121890E+008
  613.256        20513.6        3078.21       0.296102E-004  0.112407E-005   1167.37        6.59662        3.16891      -0.121690E+008
  630.269        20513.6        3076.65       0.297912E-004  0.112758E-005   1176.76        6.58939        3.16544      -0.121489E+008
  647.282        20513.6        3075.08       0.299671E-004  0.113112E-005   1185.69        6.58209        3.16193      -0.121287E+008
  664.295        20513.6        3073.50       0.301358E-004  0.113470E-005   1194.20        6.57476        3.15841      -0.121082E+008
  681.308        20513.6        3071.91       0.303020E-004  0.113832E-005   1202.33        6.56736        3.15486      -0.120877E+008
  698.321        20513.6        3070.32       0.304627E-004  0.114197E-005   1210.08        6.55991        3.15128      -0.120670E+008
  715.333        20513.6        3068.72       0.306198E-004  0.114565E-005   1217.50        6.55242        3.14768      -0.120461E+008
  732.346        20513.6        3067.11       0.307734E-004  0.114938E-005   1224.59        6.54488        3.14406      -0.120252E+008
  749.359        20513.6        3065.50       0.309242E-004  0.115314E-005   1231.40        6.53729        3.14041      -0.120041E+008
  766.372        20513.6        3063.88       0.310727E-004  0.115693E-005   1237.92        6.52965        3.13674      -0.119829E+008
  783.385        20513.6        3062.25       0.312183E-004  0.116076E-005   1244.19        6.52198        3.13306      -0.119616E+008
  800.397        20513.6        3060.62       0.313624E-004  0.116463E-005   1250.22        6.51425        3.12934      -0.119402E+008
  817.410        20513.6        3058.99       0.315044E-004  0.116853E-005   1256.01        6.50648        3.12561      -0.119187E+008
  834.423        20513.6        3057.34       0.316451E-004  0.117247E-005   1261.60        6.49866        3.12185      -0.118972E+008
  851.436        20513.6        3055.69       0.317845E-004  0.117645E-005   1266.99        6.49080        3.11808      -0.118755E+008
  868.449        20513.6        3054.04       0.319233E-004  0.118047E-005   1272.20        6.48289        3.11428      -0.118537E+008
  885.462        20513.6        3052.38       0.320605E-004  0.118452E-005   1277.22        6.47495        3.11046      -0.118319E+008
  902.474        20513.6        3347.49       0.316443E-004  0.904453E-006   1177.96        7.00772        3.36640      -0.118736E+008
  919.487        20513.6        3345.68       0.317829E-004  0.907625E-006   1182.28        6.99947        3.36244      -0.118536E+008
  936.500        20513.6        3343.87       0.319209E-004  0.910825E-006   1186.47        6.99119        3.35846      -0.118334E+008
  953.513        20513.6        3342.05       0.320585E-004  0.914053E-006   1190.53        6.98288        3.35446      -0.118132E+008
  970.526        20513.6        3340.23       0.321958E-004  0.917310E-006   1194.45        6.97453        3.35046      -0.117929E+008
  987.538        20513.6        3338.39       0.323329E-004  0.920597E-006   1198.27        6.96615        3.34643      -0.117726E+008
  1004.55        20513.6        3336.55       0.324699E-004  0.923912E-006   1201.96        6.95774        3.34239      -0.117521E+008
  1021.56        20513.6        3334.71       0.326068E-004  0.927257E-006   1205.55        6.94931        3.33834      -0.117317E+008
  1038.58        20513.6        3332.85       0.327437E-004  0.930632E-006   1209.04        6.94084        3.33427      -0.117111E+008
  1055.59        20513.6        3330.99       0.328807E-004  0.934036E-006   1212.43        6.93234        3.33019      -0.116905E+008
  1072.60        20513.6        3329.13       0.330179E-004  0.937471E-006   1215.72        6.92381        3.32609      -0.116699E+008
  1089.62        20513.6        3327.25       0.331552E-004  0.940937E-006   1218.92        6.91526        3.32198      -0.116492E+008
  1106.63        20513.6        3325.37       0.332929E-004  0.944434E-006   1222.04        6.90667        3.31786      -0.116284E+008
  1123.64        20513.6        3323.49       0.334309E-004  0.947962E-006   1225.07        6.89806        3.31372      -0.116076E+008
  1140.65        20513.6        3321.59       0.335692E-004  0.951522E-006   1228.02        6.88942        3.30957      -0.115867E+008
  1157.67        20513.6        3319.69       0.337081E-004  0.955114E-006   1230.90        6.88075        3.30540      -0.115658E+008
  1174.68        20513.6        3317.79       0.338473E-004  0.958739E-006   1233.70        6.87205        3.30122      -0.115448E+008
  1191.69        20513.6        3315.87       0.339872E-004  0.962396E-006   1236.42        6.86332        3.29703      -0.115238E+008
  1208.71        20513.6        3313.95       0.341276E-004  0.966087E-006   1239.08        6.85456        3.29283      -0.115028E+008
  1225.72        20513.6        3312.02       0.342686E-004  0.969811E-006   1241.67        6.84578        3.28861      -0.114817E+008
  1242.73        20513.6        3310.09       0.344102E-004  0.973569E-006   1244.20        6.83697        3.28437      -0.114605E+008
  1259.74        20513.6        3308.15       0.345526E-004  0.977362E-006   1246.66        6.82813        3.28013      -0.114393E+008
  1276.76        20513.6        3306.20       0.346957E-004  0.981190E-006   1249.07        6.81926        3.27587      -0.114181E+008
  1293.77        20513.6        3304.24       0.348396E-004  0.985053E-006   1251.41        6.81037        3.27160      -0.113968E+008
  1310.78        20513.6        3302.28       0.349842E-004  0.988952E-006   1253.70        6.80145        3.26731      -0.113755E+008
  1327.79        20513.6        3300.31       0.351298E-004  0.992887E-006   1255.93        6.79250        3.26301      -0.113542E+008
  1344.81        20513.6        3298.34       0.352761E-004  0.996860E-006   1258.11        6.78352        3.25870      -0.113328E+008
  1361.82        20513.6        3296.35       0.354234E-004  0.100087E-005   1260.23        6.77452        3.25437      -0.113114E+008
  1378.83        20513.6        3294.36       0.355717E-004  0.100492E-005   1262.31        6.76549        3.25004      -0.112899E+008
  1395.85        20513.6        3292.37       0.357209E-004  0.100900E-005   1264.33        6.75643        3.24568      -0.112684E+008
  1412.86        20513.6        3290.36       0.358711E-004  0.101313E-005   1266.31        6.74734        3.24132      -0.112469E+008
  1429.87        20513.6        3288.35       0.360224E-004  0.101729E-005   1268.24        6.73823        3.23694      -0.112253E+008
  1446.88        20513.6        3286.33       0.361747E-004  0.102149E-005   1270.12        6.72909        3.23255      -0.112037E+008
  1463.90        20513.6        3284.31       0.363281E-004  0.102574E-005   1271.96        6.71992        3.22815      -0.111821E+008
  1480.91        20513.6        3282.27       0.364826E-004  0.103002E-005   1273.76        6.71073        3.22373      -0.111604E+008
  1497.92        20513.6        3280.23       0.366383E-004  0.103435E-005   1275.51        6.70150        3.21930      -0.111388E+008
  1514.94        20513.6        3278.18       0.367952E-004  0.103872E-005   1277.22        6.69225        3.21486      -0.111170E+008
  1531.95        20513.6        3276.13       0.369533E-004  0.104313E-005   1278.89        6.68298        3.21040      -0.110953E+008
  1548.96        20513.6        3274.06       0.371127E-004  0.104759E-005   1280.52        6.67367        3.20593      -0.110735E+008
  1565.97        20513.6        3271.99       0.372733E-004  0.105209E-005   1282.11        6.66434        3.20145      -0.110517E+008
  1582.99        20513.6        3269.91       0.374353E-004  0.105664E-005   1283.66        6.65498        3.19695      -0.110299E+008
  1600.00        20513.6        3267.83       0.375985E-004  0.106123E-005   1285.17        6.64560        3.19244      -0.110081E+008
  273.000        21795.7        3106.15       0.198413E-004  0.117836E-005   779.254        6.45113        3.09902      -0.124862E+008
  290.013        21795.7        3110.05       0.206540E-004  0.115057E-005   815.909        6.51305        3.12877      -0.124715E+008
  307.026        21795.7        3107.36       0.212701E-004  0.116173E-005   848.992        6.48950        3.11746      -0.124577E+008
  324.038        21795.7        3113.24       0.219745E-004  0.112174E-005   878.496        6.57900        3.16045      -0.124416E+008
  341.051        21795.7        3113.89       0.225246E-004  0.111274E-005   905.649        6.60000        3.17054      -0.124261E+008
  358.064        21795.7        3113.42       0.230016E-004  0.111027E-005   930.654        6.60625        3.17354      -0.124104E+008
  375.077        21795.7        3112.32       0.234213E-004  0.111148E-005   953.790        6.60416        3.17254      -0.123943E+008
  392.090        21795.7        3112.22       0.238250E-004  0.110663E-005   975.176        6.61567        3.17807      -0.123777E+008
  409.103        21795.7        3098.27       0.262246E-004  0.108978E-005   1002.78        6.66887        3.20362      -0.123534E+008
  426.115        21795.7        3098.98       0.266707E-004  0.107826E-005   1021.47        6.69617        3.21674      -0.123357E+008
  443.128        21795.7        3097.56       0.269975E-004  0.108127E-005   1038.96        6.68975        3.21365      -0.123181E+008
  460.141        21795.7        3096.13       0.273005E-004  0.108432E-005   1055.37        6.68325        3.21053      -0.123002E+008
  477.154        21795.7        3094.67       0.275815E-004  0.108741E-005   1070.80        6.67668        3.20737      -0.122820E+008
  494.167        21795.7        3093.21       0.278475E-004  0.109055E-005   1085.34        6.66998        3.20416      -0.122636E+008
  511.179        21795.7        3091.73       0.280930E-004  0.109371E-005   1099.02        6.66329        3.20094      -0.122448E+008
  528.192        21795.7        3090.24       0.283315E-004  0.109694E-005   1111.98        6.65641        3.19763      -0.122259E+008
  545.205        21795.7        3088.74       0.285510E-004  0.110018E-005   1124.20        6.64957        3.19435      -0.122067E+008
  562.218        21795.7        3087.22       0.287650E-004  0.110348E-005   1135.79        6.64258        3.19099      -0.121874E+008
  579.231        21795.7        3085.70       0.289690E-004  0.110682E-005   1146.77        6.63554        3.18761      -0.121679E+008
  596.244        21795.7        3084.17       0.291619E-004  0.111018E-005   1157.18        6.62848        3.18422      -0.121481E+008
  613.256        21795.7        3082.63       0.293477E-004  0.111358E-005   1167.06        6.62136        3.18080      -0.121282E+008
  630.269        21795.7        3081.08       0.295244E-004  0.111700E-005   1176.43        6.61422        3.17737      -0.121080E+008
  647.282        21795.7        3079.52       0.296967E-004  0.112047E-005   1185.37        6.60701        3.17390      -0.120878E+008
  664.295        21795.7        3077.95       0.298658E-004  0.112398E-005   1193.89        6.59970        3.17039      -0.120674E+008
  681.308        21795.7        3076.38       0.300287E-004  0.112752E-005   1202.02        6.59237        3.16687      -0.120468E+008
  698.321        21795.7        3074.80       0.301866E-004  0.113109E-005   1209.77        6.58500        3.16333      -0.120261E+008
  715.333        21795.7        3073.21       0.303411E-004  0.113470E-005   1217.18        6.57758        3.15977      -0.120053E+008
  732.346        21795.7        3071.61       0.304920E-004  0.113834E-005   1224.28        6.57012        3.15618      -0.119844E+008
  749.359        21795.7        3070.01       0.306399E-004  0.114201E-005   1231.07        6.56261        3.15257      -0.119633E+008
  766.372        21795.7        3068.41       0.307858E-004  0.114572E-005   1237.60        6.55504        3.14894      -0.119421E+008
  783.385        21795.7        3066.79       0.309292E-004  0.114947E-005   1243.86        6.54743        3.14528      -0.119208E+008
  800.397        21795.7        3065.17       0.310704E-004  0.115325E-005   1249.88        6.53978        3.14161      -0.118994E+008
  817.410        21795.7        3063.55       0.312097E-004  0.115707E-005   1255.68        6.53209        3.13791      -0.118779E+008
  834.423        21795.7        3061.92       0.313477E-004  0.116092E-005   1261.26        6.52435        3.13419      -0.118564E+008
  851.436        21795.7        3060.28       0.314844E-004  0.116481E-005   1266.65        6.51656        3.13046      -0.118347E+008
  868.449        21795.7        3058.64       0.316202E-004  0.116873E-005   1271.84        6.50873        3.12669      -0.118129E+008
  885.462        21795.7        3056.99       0.317549E-004  0.117269E-005   1276.86        6.50086        3.12291      -0.117911E+008
  902.474        21795.7        3351.36       0.314085E-004  0.897282E-006   1177.65        7.03035        3.37727      -0.118365E+008
  919.487        21795.7        3349.56       0.315450E-004  0.900397E-006   1181.97        7.02216        3.37334      -0.118164E+008
  936.500        21795.7        3347.76       0.316809E-004  0.903538E-006   1186.15        7.01394        3.36939      -0.117962E+008
  953.513        21795.7        3345.96       0.318164E-004  0.906708E-006   1190.19        7.00568        3.36542      -0.117760E+008
  970.526        21795.7        3344.14       0.319516E-004  0.909905E-006   1194.12        6.99740        3.36144      -0.117557E+008
  987.538        21795.7        3342.32       0.320865E-004  0.913130E-006   1197.92        6.98908        3.35745      -0.117354E+008
  1004.55        21795.7        3340.49       0.322213E-004  0.916384E-006   1201.62        6.98074        3.35344      -0.117150E+008
  1021.56        21795.7        3338.66       0.323560E-004  0.919666E-006   1205.20        6.97236        3.34941      -0.116945E+008
  1038.58        21795.7        3336.82       0.324907E-004  0.922978E-006   1208.68        6.96396        3.34538      -0.116740E+008
  1055.59        21795.7        3334.97       0.326254E-004  0.926318E-006   1212.06        6.95552        3.34132      -0.116534E+008
  1072.60        21795.7        3333.11       0.327603E-004  0.929688E-006   1215.35        6.94706        3.33726      -0.116327E+008
  1089.62        21795.7        3331.25       0.328954E-004  0.933088E-006   1218.54        6.93857        3.33318      -0.116120E+008
  1106.63        21795.7        3329.39       0.330308E-004  0.936518E-006   1221.65        6.93005        3.32909      -0.115913E+008
  1123.64        21795.7        3327.51       0.331664E-004  0.939978E-006   1224.67        6.92150        3.32498      -0.115705E+008
  1140.65        21795.7        3325.63       0.333024E-004  0.943469E-006   1227.62        6.91292        3.32086      -0.115496E+008
  1157.67        21795.7        3323.74       0.334388E-004  0.946991E-006   1230.48        6.90432        3.31673      -0.115287E+008
  1174.68        21795.7        3321.85       0.335757E-004  0.950545E-006   1233.28        6.89569        3.31258      -0.115077E+008
  1191.69        21795.7        3319.95       0.337131E-004  0.954131E-006   1235.99        6.88703        3.30842      -0.114867E+008
  1208.71        21795.7        3318.04       0.338510E-004  0.957748E-006   1238.64        6.87834        3.30425      -0.114657E+008
  1225.72        21795.7        3316.13       0.339895E-004  0.961399E-006   1241.23        6.86962        3.30006      -0.114446E+008
  1242.73        21795.7        3314.20       0.341286E-004  0.965082E-006   1243.74        6.86088        3.29586      -0.114235E+008
  1259.74        21795.7        3312.28       0.342684E-004  0.968799E-006   1246.20        6.85211        3.29165      -0.114023E+008
  1276.76        21795.7        3310.34       0.344089E-004  0.972550E-006   1248.59        6.84332        3.28742      -0.113810E+008
  1293.77        21795.7        3308.40       0.345501E-004  0.976335E-006   1250.93        6.83449        3.28319      -0.113598E+008
  1310.78        21795.7        3306.45       0.346921E-004  0.980154E-006   1253.21        6.82564        3.27893      -0.113385E+008
  1327.79        21795.7        3304.50       0.348349E-004  0.984009E-006   1255.43        6.81677        3.27467      -0.113171E+008
  1344.81        21795.7        3302.54       0.349785E-004  0.987899E-006   1257.59        6.80786        3.27039      -0.112958E+008
  1361.82        21795.7        3300.57       0.351230E-004  0.991826E-006   1259.71        6.79893        3.26610      -0.112744E+008
  1378.83        21795.7        3298.59       0.352685E-004  0.995789E-006   1261.77        6.78998        3.26180      -0.112529E+008
  1395.85        21795.7        3296.61       0.354148E-004  0.999789E-006   1263.79        6.78099        3.25748      -0.112314E+008
  1412.86        21795.7        3294.62       0.355621E-004  0.100383E-005   1265.75        6.77198        3.25316      -0.112099E+008
  1429.87        21795.7        3292.62       0.357104E-004  0.100790E-005   1267.67        6.76295        3.24881      -0.111884E+008
  1446.88        21795.7        3290.62       0.358598E-004  0.101202E-005   1269.55        6.75388        3.24446      -0.111668E+008
  1463.90        21795.7        3288.61       0.360102E-004  0.101617E-005   1271.37        6.74479        3.24009      -0.111452E+008
  1480.91        21795.7        3286.59       0.361616E-004  0.102036E-005   1273.16        6.73567        3.23571      -0.111235E+008
  1497.92        21795.7        3284.56       0.363142E-004  0.102460E-005   1274.90        6.72653        3.23132      -0.111018E+008
  1514.94        21795.7        3282.53       0.364680E-004  0.102887E-005   1276.60        6.71736        3.22691      -0.110801E+008
  1531.95        21795.7        3280.49       0.366229E-004  0.103319E-005   1278.25        6.70816        3.22250      -0.110584E+008
  1548.96        21795.7        3278.44       0.367790E-004  0.103755E-005   1279.87        6.69894        3.21807      -0.110366E+008
  1565.97        21795.7        3276.39       0.369363E-004  0.104195E-005   1281.45        6.68969        3.21362      -0.110149E+008
  1582.99        21795.7        3274.33       0.370949E-004  0.104639E-005   1282.99        6.68041        3.20917      -0.109930E+008
  1600.00        21795.7        3272.26       0.372548E-004  0.105088E-005   1284.49        6.67111        3.20470      -0.109712E+008
  273.000        23077.7        3111.04       0.197194E-004  0.116771E-005   778.734        6.47250        3.10929      -0.124451E+008
  290.013        23077.7        3112.52       0.204861E-004  0.115423E-005   815.474        6.50353        3.12420      -0.124310E+008
  307.026        23077.7        3112.11       0.211381E-004  0.115185E-005   848.527        6.50985        3.12723      -0.124167E+008
  324.038        23077.7        3117.02       0.218219E-004  0.111764E-005   878.102        6.58783        3.16469      -0.124009E+008
  341.051        23077.7        3115.47       0.223243E-004  0.112176E-005   905.437        6.57928        3.16058      -0.123858E+008
  358.064        23077.7        3120.97       0.229205E-004  0.108361E-005   930.062        6.66759        3.20301      -0.123691E+008
  375.077        23077.7        3122.72       0.234007E-004  0.106772E-005   953.025        6.70531        3.22113      -0.123527E+008
  392.090        23077.7        3127.26       0.239084E-004  0.103491E-005   974.179        6.78385        3.25886      -0.123355E+008
  409.103        23077.7        3125.98       0.242579E-004  0.103694E-005   994.198        6.77931        3.25668      -0.123188E+008
  426.115        23077.7        3103.25       0.264470E-004  0.106871E-005   1021.10        6.72008        3.22822      -0.122948E+008
  443.128        23077.7        3101.84       0.267701E-004  0.107166E-005   1038.61        6.71371        3.22516      -0.122772E+008
  460.141        23077.7        3100.42       0.270698E-004  0.107465E-005   1055.03        6.70726        3.22206      -0.122593E+008
  477.154        23077.7        3098.97       0.273497E-004  0.107768E-005   1070.47        6.70070        3.21891      -0.122412E+008
  494.167        23077.7        3097.52       0.276111E-004  0.108076E-005   1085.01        6.69408        3.21573      -0.122227E+008
  511.179        23077.7        3096.05       0.278574E-004  0.108387E-005   1098.72        6.68738        3.21251      -0.122040E+008
  528.192        23077.7        3094.57       0.280859E-004  0.108701E-005   1111.65        6.68069        3.20930      -0.121851E+008
  545.205        23077.7        3093.08       0.283092E-004  0.109021E-005   1123.91        6.67379        3.20599      -0.121660E+008
  562.218        23077.7        3091.57       0.285149E-004  0.109342E-005   1135.47        6.66696        3.20271      -0.121465E+008
  579.231        23077.7        3090.06       0.287171E-004  0.109669E-005   1146.47        6.65996        3.19934      -0.121270E+008
  596.244        23077.7        3088.54       0.289074E-004  0.109998E-005   1156.87        6.65297        3.19598      -0.121073E+008
  613.256        23077.7        3087.01       0.290905E-004  0.110331E-005   1166.75        6.64591        3.19259      -0.120874E+008
  630.269        23077.7        3085.47       0.292660E-004  0.110666E-005   1176.14        6.63882        3.18918      -0.120673E+008
  647.282        23077.7        3083.93       0.294365E-004  0.111006E-005   1185.08        6.63165        3.18574      -0.120470E+008
  664.295        23077.7        3082.37       0.295999E-004  0.111348E-005   1193.58        6.62447        3.18229      -0.120266E+008
  681.308        23077.7        3080.81       0.297608E-004  0.111695E-005   1201.71        6.61720        3.17880      -0.120060E+008
  698.321        23077.7        3079.24       0.299163E-004  0.112044E-005   1209.46        6.60990        3.17529      -0.119853E+008
  715.333        23077.7        3077.66       0.300681E-004  0.112397E-005   1216.87        6.60255        3.17176      -0.119645E+008
  732.346        23077.7        3076.08       0.302165E-004  0.112753E-005   1223.96        6.59516        3.16821      -0.119436E+008
  749.359        23077.7        3074.49       0.303621E-004  0.113113E-005   1230.76        6.58771        3.16464      -0.119225E+008
  766.372        23077.7        3072.90       0.305050E-004  0.113476E-005   1237.28        6.58023        3.16104      -0.119013E+008
  783.385        23077.7        3071.29       0.306457E-004  0.113842E-005   1243.54        6.57269        3.15742      -0.118801E+008
  800.397        23077.7        3069.69       0.307845E-004  0.114212E-005   1249.56        6.56511        3.15378      -0.118587E+008
  817.410        23077.7        3068.07       0.309212E-004  0.114585E-005   1255.35        6.55750        3.15012      -0.118372E+008
  834.423        23077.7        3066.46       0.310566E-004  0.114961E-005   1260.93        6.54983        3.14644      -0.118156E+008
  851.436        23077.7        3064.83       0.311907E-004  0.115341E-005   1266.30        6.54212        3.14273      -0.117939E+008
  868.449        23077.7        3063.20       0.313238E-004  0.115725E-005   1271.50        6.53437        3.13901      -0.117722E+008
  885.462        23077.7        3061.57       0.314559E-004  0.116112E-005   1276.51        6.52658        3.13527      -0.117503E+008
  902.474        23077.7        3355.20       0.311769E-004  0.890246E-006   1177.34        7.05281        3.38806      -0.117993E+008
  919.487        23077.7        3353.42       0.313114E-004  0.893305E-006   1181.65        7.04468        3.38415      -0.117792E+008
  936.500        23077.7        3351.63       0.314453E-004  0.896390E-006   1185.83        7.03652        3.38023      -0.117591E+008
  953.513        23077.7        3349.83       0.315787E-004  0.899502E-006   1189.87        7.02832        3.37630      -0.117389E+008
  970.526        23077.7        3348.03       0.317118E-004  0.902641E-006   1193.79        7.02010        3.37234      -0.117186E+008
  987.538        23077.7        3346.22       0.318446E-004  0.905807E-006   1197.59        7.01184        3.36838      -0.116983E+008
  1004.55        23077.7        3344.40       0.319773E-004  0.909001E-006   1201.27        7.00356        3.36440      -0.116779E+008
  1021.56        23077.7        3342.58       0.321099E-004  0.912223E-006   1204.85        6.99524        3.36041      -0.116574E+008
  1038.58        23077.7        3340.75       0.322424E-004  0.915473E-006   1208.32        6.98690        3.35640      -0.116369E+008
  1055.59        23077.7        3338.91       0.323750E-004  0.918751E-006   1211.70        6.97853        3.35238      -0.116163E+008
  1072.60        23077.7        3337.07       0.325077E-004  0.922058E-006   1214.98        6.97013        3.34834      -0.115956E+008
  1089.62        23077.7        3335.22       0.326405E-004  0.925394E-006   1218.17        6.96170        3.34429      -0.115749E+008
  1106.63        23077.7        3333.37       0.327736E-004  0.928759E-006   1221.27        6.95324        3.34023      -0.115542E+008
  1123.64        23077.7        3331.51       0.329070E-004  0.932153E-006   1224.28        6.94476        3.33615      -0.115334E+008
  1140.65        23077.7        3329.64       0.330407E-004  0.935578E-006   1227.22        6.93625        3.33206      -0.115125E+008
  1157.67        23077.7        3327.76       0.331748E-004  0.939032E-006   1230.08        6.92771        3.32796      -0.114916E+008
  1174.68        23077.7        3325.88       0.333093E-004  0.942518E-006   1232.86        6.91914        3.32385      -0.114707E+008
  1191.69        23077.7        3323.99       0.334443E-004  0.946034E-006   1235.57        6.91055        3.31972      -0.114497E+008
  1208.71        23077.7        3322.10       0.335798E-004  0.949581E-006   1238.22        6.90193        3.31558      -0.114286E+008
  1225.72        23077.7        3320.20       0.337159E-004  0.953160E-006   1240.79        6.89328        3.31142      -0.114076E+008
  1242.73        23077.7        3318.29       0.338525E-004  0.956770E-006   1243.30        6.88461        3.30726      -0.113864E+008
  1259.74        23077.7        3316.38       0.339898E-004  0.960414E-006   1245.74        6.87590        3.30308      -0.113653E+008
  1276.76        23077.7        3314.45       0.341278E-004  0.964090E-006   1248.13        6.86718        3.29889      -0.113440E+008
  1293.77        23077.7        3312.53       0.342665E-004  0.967799E-006   1250.46        6.85842        3.29468      -0.113228E+008
  1310.78        23077.7        3310.59       0.344059E-004  0.971542E-006   1252.72        6.84964        3.29046      -0.113015E+008
  1327.79        23077.7        3308.65       0.345460E-004  0.975319E-006   1254.94        6.84084        3.28623      -0.112802E+008
  1344.81        23077.7        3306.70       0.346870E-004  0.979130E-006   1257.09        6.83201        3.28199      -0.112588E+008
  1361.82        23077.7        3304.75       0.348288E-004  0.982976E-006   1259.20        6.82315        3.27773      -0.112374E+008
  1378.83        23077.7        3302.79       0.349715E-004  0.986858E-006   1261.25        6.81426        3.27347      -0.112159E+008
  1395.85        23077.7        3300.82       0.351151E-004  0.990775E-006   1263.26        6.80535        3.26919      -0.111945E+008
  1412.86        23077.7        3298.84       0.352596E-004  0.994729E-006   1265.21        6.79642        3.26489      -0.111730E+008
  1429.87        23077.7        3296.86       0.354051E-004  0.998720E-006   1267.12        6.78745        3.26059      -0.111514E+008
  1446.88        23077.7        3294.87       0.355516E-004  0.100275E-005   1268.98        6.77846        3.25627      -0.111298E+008
  1463.90        23077.7        3292.88       0.356990E-004  0.100681E-005   1270.80        6.76945        3.25194      -0.111082E+008
  1480.91        23077.7        3290.87       0.358475E-004  0.101092E-005   1272.57        6.76041        3.24759      -0.110866E+008
  1497.92        23077.7        3288.86       0.359971E-004  0.101506E-005   1274.30        6.75134        3.24324      -0.110649E+008
  1514.94        23077.7        3286.84       0.361478E-004  0.101924E-005   1275.99        6.74225        3.23887      -0.110433E+008
  1531.95        23077.7        3284.82       0.362996E-004  0.102347E-005   1277.63        6.73313        3.23449      -0.110215E+008
  1548.96        23077.7        3282.79       0.364526E-004  0.102773E-005   1279.24        6.72398        3.23010      -0.109998E+008
  1565.97        23077.7        3280.75       0.366067E-004  0.103204E-005   1280.80        6.71481        3.22569      -0.109780E+008
  1582.99        23077.7        3278.70       0.367621E-004  0.103638E-005   1282.33        6.70561        3.22127      -0.109562E+008
  1600.00        23077.7        3276.65       0.369187E-004  0.104077E-005   1283.82        6.69639        3.21684      -0.109344E+008
  273.000        24359.7        3117.72       0.196310E-004  0.114639E-005   778.229        6.51840        3.13134      -0.124037E+008
  290.013        24359.7        3121.15       0.204309E-004  0.112128E-005   814.924        6.57688        3.15943      -0.123893E+008
  307.026        24359.7        3120.54       0.210780E-004  0.112005E-005   847.865        6.58068        3.16126      -0.123751E+008
  324.038        24359.7        3123.90       0.217330E-004  0.109495E-005   877.546        6.63979        3.18965      -0.123597E+008
  341.051        24359.7        3130.13       0.223927E-004  0.105249E-005   904.415        6.74134        3.23843      -0.123435E+008
  358.064        24359.7        3133.89       0.229589E-004  0.102461E-005   929.176        6.80983        3.27134      -0.123273E+008
  375.077        24359.7        3132.66       0.233780E-004  0.102653E-005   952.325        6.80554        3.26928      -0.123113E+008
  392.090        24359.7        3131.40       0.237583E-004  0.102849E-005   973.826        6.80114        3.26716      -0.122949E+008
  409.103        24359.7        3130.13       0.241050E-004  0.103048E-005   993.860        6.79664        3.26500      -0.122782E+008
  426.115        24359.7        3128.84       0.244228E-004  0.103251E-005   1012.58        6.79204        3.26279      -0.122611E+008
  443.128        24359.7        3106.09       0.265472E-004  0.106224E-005   1038.26        6.73750        3.23659      -0.122364E+008
  460.141        24359.7        3104.67       0.268438E-004  0.106517E-005   1054.69        6.73108        3.23351      -0.122185E+008
  477.154        24359.7        3103.24       0.271191E-004  0.106814E-005   1070.14        6.72461        3.23040      -0.122003E+008
  494.167        24359.7        3101.80       0.273783E-004  0.107116E-005   1084.69        6.71803        3.22724      -0.121819E+008
  511.179        24359.7        3100.33       0.276174E-004  0.107419E-005   1098.38        6.71147        3.22409      -0.121632E+008
  528.192        24359.7        3098.86       0.278475E-004  0.107728E-005   1111.34        6.70475        3.22086      -0.121443E+008
  545.205        24359.7        3097.38       0.280634E-004  0.108040E-005   1123.57        6.69800        3.21761      -0.121251E+008
  562.218        24359.7        3095.89       0.282729E-004  0.108357E-005   1135.18        6.69110        3.21430      -0.121058E+008
  579.231        24359.7        3094.39       0.284703E-004  0.108677E-005   1146.16        6.68420        3.21098      -0.120863E+008
  596.244        24359.7        3092.88       0.286579E-004  0.108999E-005   1156.57        6.67727        3.20766      -0.120665E+008
  613.256        24359.7        3091.36       0.288384E-004  0.109325E-005   1166.45        6.67028        3.20430      -0.120466E+008
  630.269        24359.7        3089.83       0.290103E-004  0.109653E-005   1175.83        6.66327        3.20093      -0.120265E+008
  647.282        24359.7        3088.30       0.291769E-004  0.109985E-005   1184.76        6.65619        3.19753      -0.120062E+008
  664.295        24359.7        3086.75       0.293408E-004  0.110321E-005   1193.29        6.64902        3.19409      -0.119858E+008
