|6.6.6
harz_wet_1.tab                                                                                      
           2
T(K)    
   273.00000000000000     
   17.012820512820515     
          79
P(bar)  
   1.0000000000000000     
   1282.0384615384614     
          79
           9
T(K)           P(bar)         rho,kg/m3      alpha,1/K      beta,1/bar     cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  1089.62        1.00000        3259.04       0.381126E-004  0.109092E-005   1226.16        6.51956        3.13190      -0.122478E+008
  1106.63        1.00000        3256.92       0.382997E-004  0.109587E-005   1229.43        6.50971        3.12717      -0.122270E+008
  1123.64        1.00000        3254.80       0.384878E-004  0.110086E-005   1232.61        6.49982        3.12241      -0.122060E+008
  1140.65        1.00000        3252.66       0.386769E-004  0.110592E-005   1235.72        6.48989        3.11764      -0.121850E+008
  1157.67        1.00000        3250.51       0.388672E-004  0.111102E-005   1238.75        6.47992        3.11285      -0.121640E+008
  1174.68        1.00000        3248.36       0.390586E-004  0.111619E-005   1241.72        6.46991        3.10804      -0.121429E+008
  1191.69        1.00000        3246.19       0.392513E-004  0.112141E-005   1244.61        6.45986        3.10322      -0.121217E+008
  1208.71        1.00000        3244.02       0.394454E-004  0.112670E-005   1247.44        6.44977        3.09837      -0.121005E+008
  1225.72        1.00000        3241.83       0.396408E-004  0.113204E-005   1250.21        6.43964        3.09350      -0.120793E+008
  1242.73        1.00000        3239.64       0.398376E-004  0.113744E-005   1252.92        6.42947        3.08862      -0.120580E+008
  1259.74        1.00000        3237.44       0.400360E-004  0.114290E-005   1255.57        6.41925        3.08371      -0.120366E+008
  1276.76        1.00000        3235.23       0.402360E-004  0.114843E-005   1258.16        6.40900        3.07878      -0.120153E+008
  1293.77        1.00000        3233.01       0.404375E-004  0.115402E-005   1260.70        6.39871        3.07384      -0.119938E+008
  1310.78        1.00000        3230.78       0.406408E-004  0.115968E-005   1263.18        6.38838        3.06888      -0.119724E+008
  1327.79        1.00000        3228.54       0.408458E-004  0.116540E-005   1265.61        6.37800        3.06389      -0.119509E+008
  1344.81        1.00000        3226.29       0.410526E-004  0.117119E-005   1268.00        6.36759        3.05889      -0.119293E+008
  1361.82        1.00000        3224.03       0.412613E-004  0.117704E-005   1270.33        6.35713        3.05387      -0.119077E+008
  1378.83        1.00000        3221.76       0.414719E-004  0.118297E-005   1272.62        6.34664        3.04883      -0.118861E+008
  1395.85        1.00000        3219.48       0.416844E-004  0.118897E-005   1274.87        6.33610        3.04376      -0.118644E+008
  1412.86        1.00000        3217.19       0.418990E-004  0.119504E-005   1277.07        6.32552        3.03868      -0.118427E+008
  1429.87        1.00000        3214.89       0.421157E-004  0.120118E-005   1279.23        6.31490        3.03358      -0.118210E+008
  1446.88        1.00000        3212.58       0.423345E-004  0.120740E-005   1281.35        6.30424        3.02846      -0.117992E+008
  1463.90        1.00000        3210.26       0.425556E-004  0.121369E-005   1283.42        6.29353        3.02331      -0.117774E+008
  1480.91        1.00000        3207.92       0.427789E-004  0.122006E-005   1285.46        6.28278        3.01815      -0.117555E+008
  1497.92        1.00000        3205.58       0.430045E-004  0.122651E-005   1287.47        6.27200        3.01297      -0.117336E+008
  1514.94        1.00000        3203.23       0.432325E-004  0.123304E-005   1289.43        6.26116        3.00777      -0.117117E+008
  1531.95        1.00000        3200.87       0.434629E-004  0.123966E-005   1291.36        6.25029        3.00254      -0.116897E+008
  1548.96        1.00000        3198.49       0.436959E-004  0.124635E-005   1293.26        6.23937        2.99730      -0.116678E+008
  1565.97        1.00000        3196.11       0.439314E-004  0.125314E-005   1295.12        6.22841        2.99203      -0.116457E+008
  1582.99        1.00000        3193.71       0.441696E-004  0.126000E-005   1296.95        6.21741        2.98675      -0.116237E+008
  1600.00        1.00000        3191.30       0.444104E-004  0.126696E-005   1298.75        6.20636        2.98144      -0.116016E+008
  273.000        1283.04        2969.26       0.218380E-004  0.170215E-005   789.526        5.63334        2.70617      -0.131581E+008
  290.013        1283.04        2968.12       0.226593E-004  0.170554E-005   828.598        5.62996        2.70454      -0.131443E+008
  307.026        1283.04        2966.95       0.233866E-004  0.170908E-005   863.022        5.62640        2.70284      -0.131298E+008
  324.038        1283.04        2965.74       0.240341E-004  0.171273E-005   893.619        5.62270        2.70106      -0.131148E+008
  341.051        1283.04        2964.47       0.246137E-004  0.171653E-005   921.016        5.61883        2.69920      -0.130992E+008
  358.064        1283.04        2963.23       0.251358E-004  0.172037E-005   945.750        5.61489        2.69730      -0.130834E+008
  375.077        1283.04        2961.93       0.256084E-004  0.172434E-005   968.186        5.61080        2.69534      -0.130670E+008
  392.090        1283.04        2960.59       0.260385E-004  0.172841E-005   988.657        5.60661        2.69333      -0.130502E+008
  409.103        1283.04        2959.21       0.264318E-004  0.173259E-005   1007.42        5.60231        2.69126      -0.130330E+008
  426.115        1283.04        2957.85       0.267940E-004  0.173679E-005   1024.73        5.59795        2.68917      -0.130156E+008
  443.128        1283.04        2956.47       0.271288E-004  0.174107E-005   1040.74        5.59351        2.68704      -0.129980E+008
  460.141        1283.04        2955.04       0.274396E-004  0.174545E-005   1055.60        5.58899        2.68486      -0.129799E+008
  477.154        1283.04        2953.61       0.277297E-004  0.174988E-005   1069.44        5.58441        2.68266      -0.129616E+008
  494.167        1283.04        2952.14       0.280015E-004  0.175440E-005   1082.38        5.57976        2.68043      -0.129431E+008
  511.179        1283.04        2950.64       0.282570E-004  0.175899E-005   1094.50        5.57504        2.67816      -0.129242E+008
  528.192        1283.04        2949.18       0.284991E-004  0.176358E-005   1105.92        5.57031        2.67589      -0.129054E+008
